instance_id,cls_id,in_frame,total_proj,ratio
1_574_1_575_11,11,458,458,1.000000
1_575_1_576_11,11,353,353,1.000000
1_576_1_577_11,11,433,433,1.000000
1_577_1_578_11,11,401,456,0.879386
1_578_1_579_11,11,349,349,1.000000
1_579_1_580_11,11,463,463,1.000000
1_580_1_581_11,11,318,318,1.000000
1_581_1_582_11,11,287,323,0.888545
1_582_1_583_11,11,375,375,1.000000
1_583_1_584_11,11,184,322,0.571429
1_584_1_585_11,11,360,360,1.000000
1_585_1_586_11,11,303,303,1.000000
1_586_1_587_11,11,381,381,1.000000
1_587_1_588_11,11,388,388,1.000000
1_590_1_591_13,13,259,259,1.000000
1_591_1_592_13,13,377,378,0.997354
1_592_1_593_13,13,283,283,1.000000
1_593_1_594_13,13,341,344,0.991279
1_594_1_595_13,13,319,337,0.946588
1_595_1_596_13,13,307,307,1.000000
1_596_1_597_13,13,442,442,1.000000
1_597_1_598_13,13,0,207,0.000000
1_598_1_599_13,13,250,250,1.000000
1_599_1_600_13,13,0,162,0.000000
1_600_1_602_13,13,53,53,1.000000
1_602_1_603_13,13,358,358,1.000000
1_603_1_604_13,13,353,353,1.000000
1_604_1_605_13,13,347,349,0.994269
1_605_1_606_13,13,467,467,1.000000
1_606_1_607_13,13,0,187,0.000000
1_607_1_608_13,13,323,323,1.000000
1_608_1_609_13,13,279,279,1.000000
1_609_1_610_13,13,0,0,0.000000
1_610_1_611_13,13,199,345,0.576812
1_611_1_612_13,13,402,419,0.959427
1_612_1_613_13,13,392,392,1.000000
1_613_1_614_13,13,351,354,0.991525
1_614_1_615_13,13,318,320,0.993750
1_617_1_618_1,1,426,426,1.000000
1_618_1_619_1,1,0,184,0.000000
1_619_1_620_1,1,269,364,0.739011
1_620_1_621_1,1,361,361,1.000000
1_621_1_622_1,1,377,378,0.997354
1_622_1_623_1,1,396,396,1.000000
1_623_1_624_1,1,406,406,1.000000
1_624_1_625_1,1,341,341,1.000000
1_625_1_626_1,1,382,382,1.000000
1_626_1_627_1,1,408,408,1.000000
1_627_1_629_1,1,369,369,1.000000
